ref,author,title,votes,language,has_gpu,has_tpu,approach_tags,import_tags,sloc,is_fork,parent_ref,has_optimizer,is_analysis,is_solution,is_ensemble,url,local_path,top_score,team,lb_rank
smartmanoj/sa-on-metamodel-from-2-blocks-194-trees,Smart Manoj,SA on metamodel from 2 blocks- 194 trees,0,,false,false,SA,matplotlib;numpy;pandas;shapely,890,False,,True,False,True,False,https://www.kaggle.com/code/smartmanoj/sa-on-metamodel-from-2-blocks-194-trees,downloaded/smartmanoj_sa-on-metamodel-from-2-blocks-194-trees,,Smart Manoj,116
shraddhasingh555/notebookccfdbb73ef,shraddha singh,notebookccfdbb73ef,1,,false,false,SA;Greedy,multiprocessing;numpy;pandas;shapely,278,False,,True,False,True,False,https://www.kaggle.com/code/shraddhasingh555/notebookccfdbb73ef,downloaded/shraddhasingh555_notebookccfdbb73ef,,,
adityapawar327/santa-2025-christmas-tree-packing-challenge-v1,Aditya,Santa 2025 - Christmas Tree Packing Challenge V1,8,,false,false,SA;Ensemble,matplotlib;numpy;pandas;shapely,238,False,,True,False,True,True,https://www.kaggle.com/code/adityapawar327/santa-2025-christmas-tree-packing-challenge-v1,downloaded/adityapawar327_santa-2025-christmas-tree-packing-challenge-v1,85.918996026739,,
sonu07022005/paking-with-diff-diff-method,sonu@0702@2005,paking_with_diff_diff_method,4,,false,false,SA;Greedy,matplotlib;numpy;pandas;scipy,1131,False,,True,False,True,False,https://www.kaggle.com/code/sonu07022005/paking-with-diff-diff-method,downloaded/sonu07022005_paking-with-diff-diff-method,,,
emanafi/santa-2025-challenge,Eman Afi,Santa 2025 Challenge,24,,false,false,SA;Greedy,matplotlib;numpy;pandas;scipy;shapely,780,False,,True,False,True,False,https://www.kaggle.com/code/emanafi/santa-2025-challenge,downloaded/emanafi_santa-2025-challenge,,,
blueshyy/santa-2025-ensemble-sa-greedy-backtracking-tes,Zelin Huang,Santa 2025 ensemble + SA + greedy_backtracking tes,114,,false,false,SA;Ensemble;Physics,multiprocessing;pandas;shapely,823,False,,True,False,True,True,https://www.kaggle.com/code/blueshyy/santa-2025-ensemble-sa-greedy-backtracking-tes,downloaded/blueshyy_santa-2025-ensemble-sa-greedy-backtracking-tes,,ST,143
egortrushin/santa25-improved-sa-with-translations,Egor Trushin,[Santa25] Improved SA with translations,88,,false,false,SA;Translation,matplotlib;numpy;pandas;shapely,506,False,,True,False,True,False,https://www.kaggle.com/code/egortrushin/santa25-improved-sa-with-translations,downloaded/egortrushin_santa25-improved-sa-with-translations,72.24517726388,Santa AI Chaotic Elves,12
argon1215/86-08-exp-annealing-hybrid,kigasudayooo,[86.08]exp-annealing-hybrid,71,,false,false,SA,matplotlib;numpy;pandas;shapely,309,False,,True,False,True,False,https://www.kaggle.com/code/argon1215/86-08-exp-annealing-hybrid,downloaded/argon1215_86-08-exp-annealing-hybrid,86.084437976426,,
chiragkandpal/frosty-s-santa-packer,Chirag kandpal,Frosty's SANTA Packer,10,,false,false,SA,numpy,145,False,,True,False,False,False,https://www.kaggle.com/code/chiragkandpal/frosty-s-santa-packer,downloaded/chiragkandpal_frosty-s-santa-packer,,,
dwchen/santa2025-simulated-annealing,Dewei Chen,🎄Santa2025 Simulated Annealing,12,,false,false,SA,numpy;pandas;shapely,265,False,,True,False,True,False,https://www.kaggle.com/code/dwchen/santa2025-simulated-annealing,downloaded/dwchen_santa2025-simulated-annealing,247.569800363249,,
chistyakov/sa-on-metamodel-from-2-blocks-180-trees,Stanislav Chistyakov,SA on metamodel from 2 blocks- 180 trees,61,,false,false,SA,matplotlib;numpy;pandas;shapely,923,False,,True,False,True,False,https://www.kaggle.com/code/chistyakov/sa-on-metamodel-from-2-blocks-180-trees,downloaded/chistyakov_sa-on-metamodel-from-2-blocks-180-trees,70.936673758122,ST,143
chistyakov/sa-on-metamodel-from-2-blocks-88-trees,Stanislav Chistyakov,SA on metamodel from 2 blocks- 88 trees,63,,false,false,SA,matplotlib;numpy;pandas;shapely,921,False,,True,False,True,False,https://www.kaggle.com/code/chistyakov/sa-on-metamodel-from-2-blocks-88-trees,downloaded/chistyakov_sa-on-metamodel-from-2-blocks-88-trees,70.926149550346,ST,143
chiragkandpal/frosty-s-fast-packer,Chirag kandpal,Frosty's Fast Packer,8,,false,false,SA;Physics,numpy;pandas;shapely,146,False,,True,False,True,False,https://www.kaggle.com/code/chiragkandpal/frosty-s-fast-packer,downloaded/chiragkandpal_frosty-s-fast-packer,,,
girrajjangid/santa-2025-advanced-tree-packing,Girraj Jangid,Santa 2025 — Advanced Tree Packing,18,,false,false,SA,matplotlib;numpy;pandas;shapely,206,False,,True,False,True,False,https://www.kaggle.com/code/girrajjangid/santa-2025-advanced-tree-packing,downloaded/girrajjangid_santa-2025-advanced-tree-packing,86.043110285189,,
koushikkumardinda/santa-2025-christmas-tree-packing-challenge,KOUSHIK KUMAR DINDA,Santa 2025 - Christmas Tree Packing Challenge,18,,false,false,SA;Translation;Physics,numpy;pandas;shapely,604,False,,True,False,True,True,https://www.kaggle.com/code/koushikkumardinda/santa-2025-christmas-tree-packing-challenge,downloaded/koushikkumardinda_santa-2025-christmas-tree-packing-challenge,173.652298602905,KK,113
egortrushin/santa25-simulated-annealing-with-translations,Egor Trushin,[Santa25] Simulated annealing with translations,132,,false,false,SA,matplotlib;numpy;pandas;shapely,378,False,,True,False,True,False,https://www.kaggle.com/code/egortrushin/santa25-simulated-annealing-with-translations,downloaded/egortrushin_santa25-simulated-annealing-with-translations,73.263653922229,Santa AI Chaotic Elves,12
kaushikjonas/santa01,Kaushik A S,Santa01,7,,false,false,SA,numpy;pandas;shapely,392,False,,True,False,True,True,https://www.kaggle.com/code/kaushikjonas/santa01,downloaded/kaushikjonas_santa01,212.978346361476,,
marylka/x-mas-trees-packing-greedy-heuristics,marylka,🎄x-mas trees packing - greedy heuristics🎄,2,,false,false,SA;Greedy,matplotlib;numpy;pandas;shapely,120,False,,True,False,True,False,https://www.kaggle.com/code/marylka/x-mas-trees-packing-greedy-heuristics,downloaded/marylka_x-mas-trees-packing-greedy-heuristics,,,
crodoc/87-38-hybrid-optimization-strategy,CroDoc,🎄[87.38]🎄 Hybrid Optimization Strategy,123,,false,false,SA;Translation;Ensemble;Physics,multiprocessing;pandas;shapely,660,False,,True,False,True,True,https://www.kaggle.com/code/crodoc/87-38-hybrid-optimization-strategy,downloaded/crodoc_87-38-hybrid-optimization-strategy,87.380490595858,CroDoc,208
nurikw3/lb-70-63-improved-santa,Beisenbek Nurassyl [dsmlkz],[LB 70.63] Improved santa,1,,false,false,SA;Translation;Ensemble,numba;numpy;pandas;shapely,1062,False,,True,False,True,True,https://www.kaggle.com/code/nurikw3/lb-70-63-improved-santa,downloaded/nurikw3_lb-70-63-improved-santa,70.63050019748,,
ashrafulhossenakash/70-659027-santa,Ashraful,70.659027 _ Santa,3,,false,false,SA;Translation;Ensemble,numba;numpy;pandas;shapely,1062,False,,True,False,True,True,https://www.kaggle.com/code/ashrafulhossenakash/70-659027-santa,downloaded/ashrafulhossenakash_70-659027-santa,,shr,5
hossam82/guess-score,Hossam Hamouda,Guess Score,62,,false,false,SA,matplotlib;numpy;pandas;shapely,1121,False,,True,False,True,False,https://www.kaggle.com/code/hossam82/guess-score,downloaded/hossam82_guess-score,70.597317036774,,
hvanphucs112/bbox3-ensemble-update,Van-Phuc Huynh,BBOX3 - Ensemble Update,187,,false,false,SA;Translation;Ensemble,numba;numpy;pandas;shapely,1062,False,,True,False,True,True,https://www.kaggle.com/code/hvanphucs112/bbox3-ensemble-update,downloaded/hvanphucs112_bbox3-ensemble-update,70.319406639021,⤵️79 to 94⤵️,139
snnclsr/santa-tree-challenge,Sinan Calisir,santa-tree-challenge🎅🎅,73,,false,false,SA,numba;numpy;pandas;scipy;shapely,508,False,,True,False,True,False,https://www.kaggle.com/code/snnclsr/santa-tree-challenge,downloaded/snnclsr_santa-tree-challenge,70.676102394565,Ali,95
hossam82/santa-submission-bbox3,Hossam Hamouda,Santa-submission BBOX3,62,,false,false,SA;Translation;Ensemble,numba;numpy;pandas;shapely,1062,False,,True,False,True,True,https://www.kaggle.com/code/hossam82/santa-submission-bbox3,downloaded/hossam82_santa-submission-bbox3,70.676157139568,,
samyakrajbayar/help-again,Samyakraj Bayar,Help again,0,,false,false,SA,matplotlib;numpy;pandas;shapely,1132,False,,True,False,True,False,https://www.kaggle.com/code/samyakrajbayar/help-again,downloaded/samyakrajbayar_help-again,,Amy,40
artemevstafyev/accelerated-sa-on-2-blocks-177-trees,Artem,Accelerated SA on 2 blocks- 177 trees,58,,false,false,SA,matplotlib;numpy;pandas;shapely,1113,False,,True,False,True,False,https://www.kaggle.com/code/artemevstafyev/accelerated-sa-on-2-blocks-177-trees,downloaded/artemevstafyev_accelerated-sa-on-2-blocks-177-trees,70.628313686504,ST,143
habedi/a-solution-optimizer-in-zig,Hassan Abedi,A Solution Optimizer (in Zig ⚡),9,,false,false,SA;Physics,numpy;pandas,748,False,,True,False,True,False,https://www.kaggle.com/code/habedi/a-solution-optimizer-in-zig,downloaded/habedi_a-solution-optimizer-in-zig,70.894415364485,,
chistyakov/sa-on-metamodel-from-2-blocks-132-trees,Stanislav Chistyakov,SA on metamodel from 2 blocks- 132 trees,37,,false,false,SA,matplotlib;numpy;pandas;shapely,1053,False,,True,False,True,False,https://www.kaggle.com/code/chistyakov/sa-on-metamodel-from-2-blocks-132-trees,downloaded/chistyakov_sa-on-metamodel-from-2-blocks-132-trees,70.853916686427,ST,143
ashishrajput9/fractional-translation-optimizer-fork,Ashish Rajput,🎄 Fractional Translation Optimizer (Fork),0,,false,false,SA,matplotlib;numpy;pandas;shapely,378,True,,True,False,True,False,https://www.kaggle.com/code/ashishrajput9/fractional-translation-optimizer-fork,downloaded/ashishrajput9_fractional-translation-optimizer-fork,,shr,5
barkataliarbab/santa-2025-christmas-tree-packing-challenge,Barkat Ali Arbab,Santa 2025 Christmas Tree Packing Challenge,4,,false,false,SA;Ensemble,matplotlib;numpy;pandas;shapely,210,False,,True,False,True,True,https://www.kaggle.com/code/barkataliarbab/santa-2025-christmas-tree-packing-challenge,downloaded/barkataliarbab_santa-2025-christmas-tree-packing-challenge,98.504426129098,Ali,95
